name,region,cityProvince,address,holes,phone,certified,status,lat,lng
달서 강창파크골프장,대구,대구,대구광역시 달서구 파호동 401-2,27,,False,공개,35.84601,128.47322
달성보파크골프장,대구,대구,대구광역시 달성군 논공읍 남리 6-5 (달성보 하류),18,,False,공개,37.5085,127.0632
대저생태공원파크골프장,부산,부산,부산광역시 강서구 대저1동 1-5 대저생태공원,54,,False,공개,35.2107448,128.9889401
동구 봉무동 파크골프장,대구,대구,대구광역시 동구 봉무동 1097-5 빗물펌프장(금호강변) 인근,36,,False,공개,37.5085,127.0632
동구도평파크골프장,대구,대구,대구광역시 동구 도동,9,,False,공개,35.92533,128.66264
동천 파크골프장,울산,울산,울산광역시 중구 남외동 508-1,27,,False,공개,35.5686,129.34695
무태파크골프장,대구,대구,대구광역시 북구 서변동 산격대교 밑,18,,False,공개,37.5085,127.0632
범밤파크골프장,부산,부산,부산광역시 강서구 범방동 1998,18,,False,공개,35.1536023,128.881894
북구 검단파크골프장,대구,대구,대구광역시 북구 검단동 276,27,,False,공개,35.9138163,128.6209698
불로파크골프장,대구,대구,대구광역시 동구 불로동 866-2,27,,False,공개,35.9040539,128.6338764
비산파크골프장A-E,대구,대구,대구광역시 서구 비산동 2127(매천대교 밑),18,,False,공개,37.5085,127.0632
비산파크골프장C-D,대구,대구,대구광역시 서구 비산동 2127(매천대교 밑),18,,False,공개,37.5085,127.0632
사암파크골프장,부산,부산,부산광역시 강서구 신호공단,18,,False,공개,37.5085,127.0632
삼락18파크골프장,부산,부산,부산광역시 사상구 삼락동 658-2,18,,False,공개,35.1837761,128.9791895
삼락9&9파크골프장,부산,부산,부산광역시 사상구 삼락동 658-1,18,,False,공개,35.1837761,128.9791895
삼락다이나믹파크골프장,부산,부산,부산광역시 사상구 삼락동 29-42,36,,False,공개,35.1837761,128.9791895
서재파크골프장,대구,대구,대구광역시 달성군 다사읍 다사로 822(방천리 환경자원사업소),18,,False,공개,37.5085,127.0632
성서5차산업단지파크골프장,대구,대구,대구광역시 달성군 다사읍 세천리 1691,9,,False,공개,37.5085,127.0632
소보파크골프장,대구,대구,대구광역시 군위군 봉황리,18,,False,공개,37.5085,127.0632
쇠평파크골프장,울산,울산,울산광역시 동구 남목3동 산153,18,,False,공개,37.5085,127.0632
수림지파크골프장,대구,대구,대구광역시 달서구 대천동699,18,,False,공개,37.5085,127.0632
수성파크골프장,대구,대구,대구광역시 수성구 고모동 6-2,27,,False,공개,35.86287,128.66911
수성팔현파크골프장,대구,대구,대구광역시 수성구 고모동 20-3 수성패미리파크,27,,False,공개,37.5085,127.0632
신호파크골프장,부산,부산,부산광역시 강서구 신호산단로 72번길 46,9,,False,공개,37.5085,127.0632
오륜파크골프장,부산,부산,부산광역시 금정구 오륜동 657-2,9,,False,공개,35.24592,129.12094
용주파크골프장,경남,경남,경상남도 합천군 용주면 성산리 1085-1,18,,False,공개,37.5085,127.0632
우보파크골프장,대구,대구,대구광역시 군위군 미성리,9,,False,공개,37.5085,127.0632
우주항공파크골프장,경남,경남,경상남도 사천시 정동면 예수리 420,9,,False,공개,37.5085,127.0632
울주군 범서 파크골프장,울산,울산,울산광역시 울주군 범서읍 천상리 1041-77번지,18,,False,공개,37.5085,127.0632
울주군 청량 파크골프장,울산,울산,울산광역시 울주군 청량읍 덕하리 979-63,18,,False,공개,37.5085,127.0632
웅상파크골프장,경남,경남,경상남도 양산시 웅상읍 소주동 소남교 둔치,18,,False,공개,37.5085,127.0632
원동 가야진사 파크골프장,경남,경남,경상남도 양산시 원동면 용당들길 43-62,9,,False,공개,37.5085,127.0632
원오교파크골프장,대구,대구,대구광역시 달성군 현풍면 원교리 889-2 원오교,18,,False,공개,37.5085,127.0632
유가한정파크골프장,대구,대구,대구광역시 달성군 유가읍 한정리 596-1 (차천변),18,,False,공개,37.5085,127.0632
유어파크골프장,경남,경남,경상남도 창녕군 유어면 미구리 588,18,,False,공개,37.5085,127.0632
율곡파크골프장,경남,경남,경상남도 합천군 율곡면 영전리786-1,18,,False,공개,37.5085,127.0632
의흥파크골프장,대구,대구,대구광역시 군위군 의흥면 수서리,9,,False,공개,37.5085,127.0632
이방파크골프장,경남,경남,경상남도 창녕군 이방면 장천리 950,15,,False,공개,37.5085,127.0632
장천파크골프장,경남,경남,경상남도 창원시 진해구 진해대로1099번길 149 생태숲가는길중간지점,18,,False,공개,37.5085,127.0632
정촌파크골프장,경남,경남,경상남도 진주시 정촌면,9,,False,공개,35.12398,128.11082
조만강 장애인 파크골프장,경남,경남,경상남도 김해시 장유면 칠산로 127-25,18,,False,공개,37.5085,127.0632
조만강파크골프장,경남,경남,경상남도 김해시 장유면 칠산로 127-25,18,,False,공개,37.5085,127.0632
지수면 파크골프장,경남,경남,경상남도 진주시 지수면,6,,False,공개,35.2335315,128.2720535
진장 파크골프장,울산,울산,울산광역시 북구 진장동 400,27,,False,공개,35.56914,129.36195
진주종합경기장파크골프장,경남,경남,경상남도 진주시 동진로 415 진주종합경기장내,9,,False,공개,37.5085,127.0632
진천파크골프장,대구,대구,대구광역시 달성군 화원읍 구라리 1400,18,,False,공개,37.5085,127.0632
차황파크골프장,경남,경남,경상남도 산청군 차황면 친환경로 3581,9,,False,공개,35.4635629,127.927844
